codigo_onibus,distancia_percorrida,segundos_deslocamento,tecnologia,fase_conama,fator_consumo_l,fator_consumo_kg,consumo_l,consumo_kg,emissao_co2,emissao_mp,emissao_nox
45002,1582.342054379455,2468.0,Biarticulado,P8,0.9,0.756,1.4241078489415095,1.196250593110868,3.8037920645227716,3.1102515420882564e-05,0.0013302306595392851
45003,23770.028038280656,10818.0,Midiônibus,P8,0.47,0.395,11.171913177991907,9.38916107512086,29.840180098416383,0.00024411818795314234,0.010440747115534397
45004,204767.55524110427,58809.0,Biarticulado,P5,0.9,0.756,184.29079971699386,154.80427176227482,492.2407260440906,6.006405744376264,3.2481032301160506
45005,194989.92259262185,84360.0,Biarticulado,P7,0.9,0.756,175.49093033335967,147.4123814800221,468.7362749204037,0.08107680981401216,9.692364082311453
45006,277197.79518130166,47596.0,Miniônibus,P8,0.35,0.294,97.01922831345559,81.4961517833027,259.13835882523983,0.00211889994636587,0.09062372078303259
45008,144772.8708053174,34225.0,Articulado (18m),P5,0.8,0.672,115.8182966442539,97.28736918117329,309.3506703368022,3.774749924229524,2.041283580159378
45011,199424.8760734105,86250.0,Miniônibus,P5,0.35,0.294,69.79870662569367,58.63091356558268,186.43234539722778,2.2748794463446083,1.2301938284330558
45013,211588.17320228802,56027.0,Articulado (23m),P7,0.85,0.714,179.8499472219448,151.07395566643362,480.37920902981455,0.08309067561653849,9.933112585068011
45016,169031.3602065919,86217.0,Midiônibus,P7,0.47,0.395,79.44473929709818,66.7673872816038,212.19689866254922,0.036722063004882094,4.38995571376545
45017,1265.1306164224113,110.0,Articulado (23m),P5,0.85,0.714,1.0753610239590496,0.9033032601256017,2.8722892949946215,0.035048166492873345,0.018953109003955377
45019,90317.19884440544,31265.0,Biarticulado,P8,0.9,0.756,81.28547895996489,68.27980232637051,217.11351430206622,0.0017752748604856333,0.07592714018692401
45022,247452.98491984548,77438.0,Articulado (18m),P5,0.8,0.672,197.9623879358764,166.28840586613617,528.7575381767258,6.451990147606084,3.489063331883269
45023,167460.47377814067,86224.0,Midiônibus,P7,0.47,0.395,78.70642267572612,66.14688714236557,210.22485496686446,0.036380787928301066,4.349157829610537
45024,183434.83241621926,86208.0,Padron,P8,0.63,0.529,115.56394442221813,97.03702634817999,308.6712955517446,0.0025229626850526796,0.10790517329917615
45026,127922.946082485,45684.0,Miniônibus,P8,0.35,0.294,44.77303112886975,37.60934614825059,119.58876614521108,0.0009778429998545152,0.04182159291685465
45028,115394.68875329666,28643.0,Articulado (23m),P8,0.85,0.714,98.08548544030216,82.39180776985381,261.9863316110471,0.002142187002016199,0.09161969024007743
45029,131836.93126574313,86263.0,Articulado (18m),P5,0.8,0.672,105.4695450125945,88.59441781057939,281.7091547286399,3.4374634110504805,1.8588880745015768
45032,121781.56911421244,60460.0,Articulado (18m),P5,0.8,0.672,97.42525529136996,81.83721444475077,260.22285688324916,3.17528392045633,1.7171084334797608
45036,265796.7834575455,86210.0,Articulado (23m),P7,0.85,0.714,225.9272659389137,189.7789033886875,603.4517273228385,0.10437839686377813,12.477962897806204
45037,217202.97293749728,86202.0,Biarticulado,P8,0.9,0.756,195.48267564374757,164.20544754074797,522.1342266444498,0.004269341636059447,0.18259645766531174
45040,156477.39401774545,49331.0,Articulado (18m),P5,0.8,0.672,125.18191521419635,105.15280877992494,334.36089553711844,4.079928980661088,2.206316233820385
45045,459782.80364968156,86203.0,Biarticulado,P7,0.9,0.756,413.8045232847134,347.5957995591593,1105.2718816934694,0.1911776897575376,22.854423821014723
45047,251602.348388328,44145.0,Miniônibus,P8,0.35,0.294,88.0608219359148,73.97109042616843,235.21045539082843,0.001923248351080379,0.08225585255389929
45049,162230.16828018866,86209.0,Midiônibus,P5,0.47,0.395,76.24817909168866,64.08091647067452,203.65888635390039,2.4863395590621717,1.3445457893876929
45050,115578.40575450874,86254.0,Articulado (18m),P7,0.8,0.672,92.462724603607,77.66868866702987,246.9679374162343,0.04271777876686643,5.106716279857214
45051,187663.13296830095,86221.0,Biarticulado,P7,0.9,0.756,168.89681967147087,141.87332852403551,451.12340534249864,0.07803033068821953,9.328171350455335
45055,18736.33873615976,28696.0,Articulado (23m),P8,0.85,0.714,15.925887925735795,13.377745857618068,42.53804664964031,0.00034782139229806974,0.01487605339367129
45058,191876.8079984821,86223.0,Padron,P5,0.63,0.529,120.88238903904374,101.50283143119705,322.87686112328583,3.9383098595304458,2.1297324090893768
45060,210167.9524159036,57302.0,Midiônibus,P7,0.47,0.395,98.77893763547468,83.01634120428191,263.83854242435285,0.04565898766235506,5.458324434181536
45061,222765.5783513085,86195.0,Padron,P8,0.63,0.529,140.34231436132436,117.84299094784221,374.8543216590973,0.0030639177646438974,0.13104140593400052
45065,145895.29942514125,34950.0,Biarticulado,P7,0.9,0.756,131.3057694826271,110.29684636540678,350.717710288097,0.06066326550097373,7.252017648525496
45068,290244.0782389128,53589.0,Articulado (18m),P8,0.8,0.672,232.19526259113024,195.0440205765494,620.1935463809089,0.005071144534990284,0.21688895088112292
45071,246471.10354300097,86231.0,Básico,P7,0.53,0.445,130.6296848777905,109.67964107663543,348.91188830857845,0.06032380259214949,7.21143640078878
45072,258192.34953108698,86240.0,Básico,P5,0.53,0.445,136.8419452514761,114.8955955413337,365.5048357666926,4.457949107003748,2.410739385648264
45075,152193.1302108455,52166.0,Biarticulado,P8,0.9,0.756,136.97381718976095,115.05800643939921,365.85706571385145,0.0029915081674243794,0.1279445031606119
45077,82366.68804284112,24837.0,Articulado (23m),P5,0.85,0.714,70.01168483641494,58.80981526258856,187.0012101980643,2.281820832188436,1.2339475438396332
45078,258951.97016235825,55903.0,Articulado (23m),P8,0.85,0.714,220.1091746380045,184.89170669592377,587.91160545811,0.004807184374094018,0.20559957784586722
45079,225159.72278084917,86221.0,Midiônibus,P5,0.47,0.395,105.8250697069991,88.93809049843543,282.6587611873946,3.450797911339295,1.8660990148381722
