hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry,ponto_final,hora_final,distancia_percorrida,segundos_deslocamento
14:02:00,859,172R-10,METRÔ BELÉM - JAÇANÃ,26338,-46.583746000000005,-23.465826,2025-10-16 14:02:23-03:00,POINT (338243.4154158068 7404021.53300149),,,,
14:02:00,858,172P-10,METRÔ BELÉM - VL. ZILDA,26339,-46.587077,-23.456825,2025-10-16 14:02:30-03:00,POINT (337892.14763951825 7405014.512240321),,,,
14:02:00,33629,172X-10,METRÔ TATUAPÉ - PQ. NOVO MUNDO,26352,-46.56576,-23.5333775,2025-10-16 14:02:16-03:00,POINT (340162.2710984224 7396561.3216137625),,,,
14:02:00,864,1722-10,METRÔ TUCURUVI - JD. MARINA,26376,-46.672434,-23.4822155,2025-10-16 14:02:17-03:00,POINT (329204.6146614979 7402104.037239977),,,,
14:02:00,1937,1720-21,METRÔ TUCURUVI - VILA SABRINA,26396,-46.5743185,-23.4873335,2025-10-16 14:02:41-03:00,POINT (339232.5407432367 7401650.468107549),,,,
14:02:00,858,172P-10,METRÔ BELÉM - VL. ZILDA,26402,-46.585522,-23.43873,2025-10-16 14:02:37-03:00,POINT (338028.9373710192 7407020.01660051),,,,
14:02:00,33624,172J-10,TATUAPÉ - JD. BRASIL,26403,-46.5776415,-23.5400975,2025-10-16 14:02:20-03:00,POINT (338957.3451136543 7395803.88483423),,,,
14:02:00,856,172J-10,TATUAPÉ - JD. BRASIL,26406,-46.568705,-23.4797715,2025-10-16 14:02:38-03:00,POINT (339796.7447653863 7402494.115470436),,,,
14:02:00,33632,1722-10,METRÔ TUCURUVI - JD. MARINA,26407,-46.5962375,-23.4717395,2025-10-16 14:02:17-03:00,POINT (336974.63190926576 7403352.592050912),,,,
14:02:00,861,172X-10,METRÔ TATUAPÉ - PQ. NOVO MUNDO,26453,-46.56474425,-23.5043985,2025-10-16 14:02:11-03:00,POINT (340230.99903379136 7399771.453131036),,,,
14:02:00,864,1722-10,METRÔ TUCURUVI - JD. MARINA,26470,-46.634456,-23.46517025,2025-10-16 14:02:30-03:00,POINT (333062.3513487647 7404036.202101825),,,,
14:02:00,33629,172X-10,METRÔ TATUAPÉ - PQ. NOVO MUNDO,26479,-46.577504,-23.539936,2025-10-16 14:02:15-03:00,POINT (338971.1865793618 7395821.923128585),,,,
14:02:00,33624,172J-10,TATUAPÉ - JD. BRASIL,26485,-46.58326375,-23.5139625,2025-10-16 14:02:19-03:00,POINT (338351.4045546233 7398691.648499379),,,,
14:02:00,856,172J-10,TATUAPÉ - JD. BRASIL,26486,-46.59479025,-23.52472375,2025-10-16 14:02:21-03:00,POINT (337187.6001137002 7397486.9583327),,,,
14:02:00,858,172P-10,METRÔ BELÉM - VL. ZILDA,26487,-46.569611,-23.4390595,2025-10-16 14:02:14-03:00,POINT (339655.02528783795 7407001.338779458),,,,
14:02:00,141,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31780,-46.5016145,-23.4857535,2025-10-16 14:02:32-03:00,POINT (346656.3518091558 7401904.884704802),,,,
14:02:00,141,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31781,-46.4759135,-23.517939,2025-10-16 14:02:34-03:00,POINT (349317.93788641284 7398368.107707227),,,,
14:02:00,141,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31782,-46.4759135,-23.517939,2025-10-16 14:01:58-03:00,POINT (349317.93788641284 7398368.107707227),,,,
14:02:00,32975,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31783,-46.502901,-23.510962,2025-10-16 14:02:37-03:00,POINT (346554.1561700391 7399112.101313602),,,,
14:02:00,32909,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31784,-46.546455875,-23.509415500000003,2025-10-16 14:02:00-03:00,POINT (342104.63832063775 7399236.126119785),,,,
14:02:00,32909,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31785,-46.58915,-23.5366255,2025-10-16 14:02:28-03:00,POINT (337778.11356553715 7396175.390058173),,,,
14:02:00,260,2059-10,CPTM GUAIANASES - SÃO MIGUEL,31786,-46.4437835,-23.4935985,2025-10-16 14:02:19-03:00,POINT (352571.6092761172 7401096.718173329),,,,
14:02:00,33028,2059-10,CPTM GUAIANASES - SÃO MIGUEL,31787,-46.439372500000005,-23.5078855,2025-10-16 14:02:34-03:00,POINT (353037.9441627745 7399519.227168234),,,,
14:02:00,158,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31788,-46.475586,-23.5185795,2025-10-16 14:02:16-03:00,POINT (349352.1078167561 7398297.527501958),,,,
14:02:00,33028,2059-10,CPTM GUAIANASES - SÃO MIGUEL,31789,-46.442163,-23.4909965,2025-10-16 14:02:19-03:00,POINT (352734.21513943357 7401386.50146943),,,,
14:02:00,32897,1177-10,LUZ - TERM. A. E. CARVALHO,31790,-46.626624500000005,-23.52,2025-10-16 14:02:36-03:00,POINT (333931.1143852824 7397973.57184512),,,,
14:02:00,129,1177-10,LUZ - TERM. A. E. CARVALHO,31791,-46.58515375,-23.527674,2025-10-16 14:02:39-03:00,POINT (338175.17356519704 7397171.160450137),,,,
