hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps
14:02:00,35387,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75214,-46.709140375,-23.6460668125,2025-10-16 14:02:15-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75250,-46.66199,-23.618114,2025-10-16 14:02:13-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75251,-46.7351955,-23.667625,2025-10-16 14:02:31-03:00
14:02:00,1917,8605-10,TERM. BANDEIRA - TERM. CAMPO LIMPO,75252,-46.66202125,-23.57027475,2025-10-16 14:02:28-03:00
14:02:00,35387,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75254,-46.6562685,-23.5971995,2025-10-16 14:02:05-03:00
14:02:00,1322,695T-10,METRÔ VL. MARIANA - TERM. CAPELINHA,75255,-46.651826625,-23.596337375,2025-10-16 14:02:35-03:00
14:02:00,2619,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75301,-46.761785,-23.654826,2025-10-16 14:02:22-03:00
14:02:00,35387,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75302,-46.7384915,-23.642516,2025-10-16 14:02:37-03:00
14:02:00,2619,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75303,-46.6379105,-23.5972005,2025-10-16 14:02:36-03:00
14:02:00,2619,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75306,-46.69510575,-23.638472875,2025-10-16 14:02:40-03:00
14:02:00,2619,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75307,-46.71380275,-23.645292625000003,2025-10-16 14:02:23-03:00
14:02:00,2619,695T-1,METRÔ VL. MARIANA - TERM. CAPELINHA,75308,-46.761785,-23.654826,2025-10-16 14:02:24-03:00
14:02:00,34090,695T-10,METRÔ VL. MARIANA - TERM. CAPELINHA,75309,-46.6854695,-23.6282968125,2025-10-16 14:02:42-03:00
14:02:00,32772,669A-10,TERM. PRINC. ISABEL - TERM. STO. AMARO,75400,-46.65141475,-23.567367687500003,2025-10-16 14:02:10-03:00
14:02:00,32772,669A-10,TERM. PRINC. ISABEL - TERM. STO. AMARO,75401,-46.6471605,-23.547223,2025-10-16 14:02:26-03:00
14:02:00,4,669A-10,TERM. PRINC. ISABEL - TERM. STO. AMARO,75404,-46.7105825,-23.654157,2025-10-16 14:02:24-03:00
14:02:00,32772,669A-10,TERM. PRINC. ISABEL - TERM. STO. AMARO,75405,-46.64792575,-23.535651625,2025-10-16 14:02:36-03:00
14:02:00,2503,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75406,-46.7126115,-23.665831500000003,2025-10-16 14:02:34-03:00
14:02:00,35271,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75407,-46.7188585,-23.66632175,2025-10-16 14:02:14-03:00
14:02:00,35271,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75410,-46.7355055,-23.668242,2025-10-16 14:02:14-03:00
14:02:00,2503,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75411,-46.65078875,-23.643606,2025-10-16 14:02:05-03:00
14:02:00,2503,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75413,-46.667075,-23.6411445,2025-10-16 14:02:36-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75414,-46.7351955,-23.667625,2025-10-16 14:02:40-03:00
14:02:00,34669,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75415,-46.703789875,-23.645170625,2025-10-16 14:02:42-03:00
14:02:00,35271,707K-10,METRÔ JABAQUARA - TERM. GUARAPIRANGA,75416,-46.65078875,-23.643606,2025-10-16 14:02:31-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75418,-46.6512025,-23.6365605,2025-10-16 14:02:24-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75419,-46.6858985,-23.624449,2025-10-16 14:02:41-03:00
14:02:00,34669,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75420,-46.6415225,-23.637135,2025-10-16 14:02:02-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75421,-46.7570755,-23.6468455,2025-10-16 14:02:10-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75422,-46.7729265,-23.6330375,2025-10-16 14:02:09-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75423,-46.7724795,-23.6311435,2025-10-16 14:02:00-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75424,-46.7724795,-23.6311435,2025-10-16 14:02:05-03:00
14:02:00,1901,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75426,-46.7724795,-23.6311435,2025-10-16 14:02:30-03:00
14:02:00,34669,857C-10,METRÔ CONCEIÇÃO - TERM. CAMPO LIMPO,75427,-46.7549275,-23.645908,2025-10-16 14:02:37-03:00
14:02:00,34076,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75428,-46.630172,-23.547524,2025-10-16 14:02:37-03:00
14:02:00,34076,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75429,-46.62989325,-23.5493905,2025-10-16 14:02:29-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75430,-46.70330725,-23.66043125,2025-10-16 14:02:30-03:00
14:02:00,32776,695V-10,METRÔ ANA ROSA - TERM. CAPELINHA,75431,-46.739006,-23.6424275,2025-10-16 14:02:23-03:00
14:02:00,34076,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75432,-46.6475065,-23.56532,2025-10-16 14:02:21-03:00
14:02:00,1917,8605-10,TERM. BANDEIRA - TERM. CAMPO LIMPO,75433,-46.710877,-23.579995,2025-10-16 14:02:41-03:00
14:02:00,34076,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75434,-46.65132725,-23.599954,2025-10-16 14:02:39-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75435,-46.6503785,-23.5924295,2025-10-16 14:02:25-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75436,-46.7351955,-23.667625,2025-10-16 14:02:19-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75437,-46.64805425,-23.566092375,2025-10-16 14:01:58-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75438,-46.7351955,-23.667625,2025-10-16 14:02:33-03:00
14:02:00,34076,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75439,-46.6557275,-23.57965175,2025-10-16 14:02:39-03:00
14:02:00,1308,5185-10,TERM. PQ. D. PEDRO II - TERM. GUARAPIRANGA,75440,-46.734237750000005,-23.6690145,2025-10-16 14:02:28-03:00
