hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31256,-46.4143675,-23.581097,2025-10-16 14:01:59-03:00,POINT (355671.3065905579 7391437.8493443355)
14:02:00,34941,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31258,-46.4074505,-23.583108,2025-10-16 14:02:15-03:00,POINT (356379.43596978975 7391222.125472296)
14:02:00,34941,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31259,-46.5069455,-23.5670735,2025-10-16 14:02:33-03:00,POINT (346206.4293925379 7392894.3459893875)
14:02:00,2171,4311-10,TERM. PQ. D. PEDRO II - TERM. SÃO MATEUS,31261,-46.474337,-23.610204,2025-10-16 14:02:04-03:00,POINT (349584.0370366938 7388153.001926929)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31263,-46.407563,-23.5824475,2025-10-16 14:02:26-03:00,POINT (356367.2355668085 7391295.150305404)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31264,-46.4150995,-23.582728,2025-10-16 14:01:57-03:00,POINT (355598.384332118 7391256.508918851)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31265,-46.4804625,-23.588790000000003,2025-10-16 14:02:15-03:00,POINT (348934.4669226614 7390517.791790303)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31267,-46.5039455,-23.570302,2025-10-16 14:02:11-03:00,POINT (346516.40015974845 7392540.059390331)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31277,-46.4073165,-23.582475,2025-10-16 14:02:32-03:00,POINT (356392.4227014715 7391292.352490455)
14:02:00,207,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31279,-46.609840250000005,-23.539574875,2025-10-16 14:02:17-03:00,POINT (335669.3209218575 7395825.228383649)
14:02:00,34387,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31280,-46.445980500000005,-23.594756,2025-10-16 14:02:13-03:00,POINT (352460.18158644676 7389893.134469442)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31281,-46.4532225,-23.5348025,2025-10-16 14:02:00-03:00,POINT (351653.8083355186 7396524.424154165)
14:02:00,34938,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31282,-46.50452325,-23.5715905,2025-10-16 14:02:17-03:00,POINT (346458.9277707468 7392396.7595125325)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31283,-46.407171,-23.5825065,2025-10-16 14:02:27-03:00,POINT (356407.30636144895 7391289.010411882)
14:02:00,207,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31285,-46.475941500000005,-23.517753,2025-10-16 14:02:06-03:00,POINT (349314.8670587607 7398388.6745050065)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31286,-46.4396905,-23.595074,2025-10-16 14:02:29-03:00,POINT (353102.42512154055 7389864.393040861)
14:02:00,32975,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31288,-46.5129125,-23.512295,2025-10-16 14:02:25-03:00,POINT (345533.3770542371 7398953.757797744)
14:02:00,34387,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31289,-46.4343875,-23.4917705,2025-10-16 14:02:40-03:00,POINT (353529.17631872953 7401308.74363114)
14:02:00,374,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31290,-46.46669425,-23.498885,2025-10-16 14:02:34-03:00,POINT (350237.7619321894 7400487.63933817)
14:02:00,32975,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31291,-46.6292585,-23.5476865,2025-10-16 14:02:04-03:00,POINT (333696.9695107832 7394904.575307174)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31295,-46.6149765,-23.552671,2025-10-16 14:02:35-03:00,POINT (335161.2575521077 7394369.099922983)
14:02:00,2160,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31296,-46.630752,-23.547027,2025-10-16 14:02:35-03:00,POINT (333543.66487157054 7394975.873683458)
14:02:00,32910,2552-10,TERM. PQ. D. PEDRO II - VL. MARA,31297,-46.424175000000005,-23.48440975,2025-10-16 14:02:06-03:00,POINT (354564.08576739725 7402134.173509922)
14:02:00,32900,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,31299,-46.433391,-23.5038715,2025-10-16 14:02:21-03:00,POINT (353644.31590360776 7399969.809064392)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31300,-46.6302515,-23.546701,2025-10-16 14:02:39-03:00,POINT (333594.35157136247 7395012.555395659)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31301,-46.497249,-23.578522,2025-10-16 14:02:26-03:00,POINT (347209.4265234774 7391636.988313928)
14:02:00,2173,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31302,-46.5664215,-23.5384835,2025-10-16 14:02:36-03:00,POINT (340100.9058756678 7395995.168114413)
14:02:00,33142,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31320,-46.44601225,-23.49173,2025-10-16 14:02:33-03:00,POINT (352341.91082049406 7401301.330052885)
14:02:00,32926,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31327,-46.475611,-23.5184535,2025-10-16 14:02:35-03:00,POINT (349349.4116681161 7398311.453521008)
14:02:00,250,2523-10,TERM. A. E. CARVALHO - VL. PROGRESSO,31328,-46.431203,-23.5241195,2025-10-16 14:02:19-03:00,POINT (353890.1017969059 7397729.962628576)
14:02:00,129,1177-10,LUZ - TERM. A. E. CARVALHO,31332,-46.4758545,-23.518319,2025-10-16 14:02:14-03:00,POINT (349324.3949577422 7398326.091401266)
14:02:00,32926,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31333,-46.4744745,-23.518677500000003,2025-10-16 14:02:27-03:00,POINT (349465.71352049813 7398287.841947811)
14:02:00,32926,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31334,-46.453654,-23.5813,2025-10-16 14:02:01-03:00,POINT (351661.9750576322 7391375.2166537)
14:02:00,33018,2523-10,TERM. A. E. CARVALHO - VL. PROGRESSO,31335,-46.4238515,-23.5154955,2025-10-16 14:02:16-03:00,POINT (354631.24215553585 7398692.368458208)
14:02:00,33009,2767-10,METRÔ TATUAPÉ - CID. PEDRO JOSÉ NUNES,31350,-46.48720325,-23.507370375,2025-10-16 14:02:36-03:00,POINT (348153.02240338206 7399526.50080524)
14:02:00,32926,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31352,-46.4549095,-23.524028,2025-10-16 14:02:38-03:00,POINT (351469.4752466852 7397715.7566710245)
14:02:00,34387,354M-10,TERM. SÃO MATEUS - TERM. SÃO MIGUEL,31353,-46.4343875,-23.4917705,2025-10-16 14:02:11-03:00,POINT (353529.17631872953 7401308.74363114)
14:02:00,374,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31354,-46.605918,-23.5388835,2025-10-16 14:02:15-03:00,POINT (336068.9145247981 7395906.278633174)
14:02:00,34928,4310-10,TERM. PQ. D. PEDRO II - E.T. ITAQUERA,31357,-46.624897,-23.551941,2025-10-16 14:02:34-03:00,POINT (334147.582009939 7394438.493676912)
14:02:00,32912,2762-10,METRÔ TATUAPÉ - ERMELINO MATARAZZO,31358,-46.5224735,-23.499573,2025-10-16 14:02:35-03:00,POINT (344542.1189924489 7400352.1918223575)
14:02:00,32912,2762-10,METRÔ TATUAPÉ - ERMELINO MATARAZZO,31359,-46.508416,-23.49513825,2025-10-16 14:02:25-03:00,POINT (345972.58585500903 7400858.409734515)
14:02:00,32912,2762-10,METRÔ TATUAPÉ - ERMELINO MATARAZZO,31360,-46.4787395,-23.49308275,2025-10-16 14:02:08-03:00,POINT (349001.0378522 7401117.5241402285)
14:02:00,158,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31379,-46.47052,-23.6012845,2025-10-16 14:02:07-03:00,POINT (349963.3633805462 7389144.696417198)
14:02:00,33028,2059-10,CPTM GUAIANASES - SÃO MIGUEL,31388,-46.416526,-23.5418265,2025-10-16 14:02:06-03:00,POINT (355408.0294801134 7395784.126189899)
14:02:00,33018,2523-10,TERM. A. E. CARVALHO - VL. PROGRESSO,31391,-46.467371375,-23.51610325,2025-10-16 14:01:35-03:00,POINT (350188.09193773696 7398580.325538408)
14:02:00,33000,274P-10,METRÔ VL. MARIANA - PENHA,31443,-46.574429,-23.535464,2025-10-16 14:02:16-03:00,POINT (339279.69563077413 7396320.5840567425)
14:02:00,34939,4311-10,TERM. PQ. D. PEDRO II - TERM. SÃO MATEUS,31482,-46.558894,-23.5371325,2025-10-16 14:02:26-03:00,POINT (340867.81166270125 7396153.144657573)
14:02:00,34945,4002-10,TERM. VL. CARRÃO - GUAIANASES,31485,-46.4038685,-23.559947,2025-10-16 14:02:20-03:00,POINT (356719.8704032057 7393790.344307639)
14:02:00,34942,4314-10,TERM. PQ. D. PEDRO II - INÁCIO MONTEIRO,31486,-46.398475000000005,-23.57374,2025-10-16 14:02:05-03:00,POINT (357285.31870298856 7392268.423861396)
14:02:00,376,2626-10,TERM. PQ. D. PEDRO II - JD. NAZARÉ,31487,-46.4196,-23.4940365,2025-10-16 14:02:19-03:00,POINT (355041.8769531795 7401072.825868625)
14:02:00,33144,2626-10,TERM. PQ. D. PEDRO II - JD. NAZARÉ,31488,-46.4105365,-23.523301,2025-10-16 14:02:02-03:00,POINT (355999.3253224754 7397841.48567863)
14:02:00,2172,4312-10,TERM. PQ. D. PEDRO II - JD. MARÍLIA,31502,-46.4918425,-23.556531,2025-10-16 14:02:25-03:00,POINT (347735.8750267211 7394077.885961844)
14:02:00,34940,4312-10,TERM. PQ. D. PEDRO II - JD. MARÍLIA,31505,-46.489686875,-23.570552125,2025-10-16 14:02:01-03:00,POINT (347972.0630634081 7392527.5692212)
14:02:00,34940,4312-10,TERM. PQ. D. PEDRO II - JD. MARÍLIA,31507,-46.495102,-23.564915,2025-10-16 14:02:15-03:00,POINT (347412.829958625 7393146.029756792)
14:02:00,32900,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,31512,-46.4768005,-23.504002,2025-10-16 14:01:57-03:00,POINT (349211.4946937653 7399910.4503312)
14:02:00,32910,2552-10,TERM. PQ. D. PEDRO II - VL. MARA,31514,-46.420949500000006,-23.4891745,2025-10-16 14:02:30-03:00,POINT (354898.73419127316 7401609.83304122)
14:02:00,2176,4001-10,TERM. VL. CARRÃO - ITAQUERA,31515,-46.4914915,-23.5535715,2025-10-16 14:02:37-03:00,POINT (347768.2952221162 7394405.973899685)
14:02:00,32897,1177-10,LUZ - TERM. A. E. CARVALHO,31516,-46.4755325,-23.5189365,2025-10-16 14:02:09-03:00,POINT (349357.97699582967 7398258.052252943)
14:02:00,32926,253F-10,TERM. SÃO MATEUS - TERM. A. E. CARVALHO,31517,-46.446031,-23.562426875,2025-10-16 14:02:19-03:00,POINT (352418.88021773775 7393472.951657604)
14:02:00,132,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,31518,-46.532425,-23.5066925,2025-10-16 14:02:05-03:00,POINT (343534.2287764785 7399553.015202384)
